Name	TSig	EvSw	Tempo	Long Name	Genre	Group	#Instr	Other Genres
BLZTRIO9	4/4	sw8	135	Blues Trio 9 - Chicago Blues LH-Piano	Blues	Jazz	3	Jazz
BOARDWLK	4/4	ev8	115	Boardwalk	Lite Pop	Pop	5	Lite Pop
BOBALLAD	4/4	ev16	80	BO Ballad Style	Lite Pop	Pop	4	Ballad
BOBBYBB	12/8	sw8	130	Bobby BB - 12/8 Barrelhouse Blues	Blues	Pop	4	Blues
BoDid1	4/4	ev8	215	BoDid1 - Rockabilly Blues	Blues	Pop	5	Country,Country Contemporary,Rockabilly,Country
Bogey~	4/4	sw8	85	Bogey - Slow Swing Ballad	Jazz	Jazz	5	Jazz Ballad,Jazz Swing,Lite Pop
BOLERO1	4/4	ev8	105	Bolero 1 - Latin Bolero Style	Latin	Jazz	5	Latin
Bolero2	4/4	ev16	85	Bolero 2 - Latin Bolero	Latin	Jazz	5	Latin
Bolero3	4/4	ev8	105	Bolero 3 - Cuban Bolero	Latin	Jazz	4	Salsa
BombFst	4/4	ev8	230	Bomba Fast - Lively Puerto Rican	Latin	Jazz	4	Salsa
BombMed	4/4	ev16	110	Bomba Medium - Puerto Rican	Latin	Jazz	4	Salsa
BonnieR	4/4	sw8	110	BonnieR - Medium Blues Shuffle	Blues	Pop	4	Blues
BoogyRk2	4/4	ev8	160	Boogie Rock Variation	Blues	Pop	5	Blues
BoogyRok	4/4	ev8	160	Boogie Rock Straight 8ths Style	Blues	Pop	5	Blues
BoogyShf	4/4	sw8	160	Boogie Shuffle	Blues	Pop	5	Blues
Bop_300	4/4	sw8	335	Bop at T=300 - Fast Bebop	Jazz	Jazz	3	Bebop
BOPFUNK	4/4	sw16	100	Bop Funk - Swing 16 Funk Groove	Funk	Pop	5	Jazz,Bebop
Bos_250	4/4	ev8	250	Bossa at T=250 - Fast Bossa	Jazz	Jazz	5	Latin,Bossa
Bosa_45	4/4	ev16	45	Bossa at T=45 - Slow Bossa	Jazz	Jazz	5	Jazz Ballad,Latin,Bossa
Bosa_60	4/4	ev16	60	Bossa at T=60 - Slow Bossa	Jazz	Jazz	5	Jazz Ballad,Latin,Bossa
BosaLite	4/4	ev8	110	Bossa Lite - Med-Slow Ev.8 Bossa	Jazz	Jazz	5	Latin,Bossa
BOSANEW	4/4	ev8	110	Bossa New Style	Jazz	Jazz	5	Latin,Bossa
BOSANUVO	4/4	ev8	150	Bossa Nuvo - Medium-Uptempo Bossa	Jazz	Jazz	5	Latin,Bossa
BosaNY	4/4	ev8	140	Bossa NY - Contemporary Bossa	Jazz	Jazz	5	Latin,Bossa
BOSSA2	4/4	ev8	130	Bossa 2 Style	Jazz	Jazz	3	Latin,Bossa
Bossa33	4/4	ev8	140	Bossa33 - Latin Brazilian Bossa	Jazz	Jazz	5	Latin,Bossa
BossaSw	4/4	ev8	155	Bossa Swing - Ev.8 w/ Slight Swing	Jazz	Jazz	5	Latin,Bossa
BOUNCY_G	4/4	sw8	125	Bouncy Style G	Lite Pop	Pop	4	Lite Pop
BOUZOUK1	4/4	ev8	130	Bouzouki 1 - World Styles 2	World	Country	5	Greek
Bowey3	4/4	ev8	170	Bowey3 - Brit 80s Ev.8 Rock	Heavy Rock	Pop	5	Heavy Rock
BoyG_Lat	4/4	ev16	105	BoyG_Lat - 80s Rock-Latin	Latin	Pop	5	Latin
BRANDY	4/4	ev16	92	Brandy - Top 40 16th Arps.	Lite Pop	Pop	5	Pop
BREEZIN	4/4	ev16	85	Breezin' Style	Lite Pop	Pop	5	Lite Pop
BrekBros	4/4	ev16	120	BrekBros Funk (Fusion)	Funk	Jazz	5	Jazz,Fusion,Fusion,Jazz
BrentSw	4/4	sw8	175	BrentSw - Fast Swing 8ths Country Shuffle	Country	Country	5	Country Classic
Bright	4/4	ev8	105	Bright - Slow 80s Even 8ths Rock	Lite Pop	Pop	5	Pop
BRIT60SW	4/4	sw8	135	Brit 60's Bouncy Swing	Lite Pop	Pop	5	Pop
BRIT8SLO	4/4	ev8	115	Brit 60's Med-Slow Straight 8ths	Pop	Pop	5	Pop
BritFolk	4/4	ev16	90	Brit Folk - Even 16ths Style	Folk	Country	5	Folk
BRITROK8	4/4	ev8	135	Brit 60's Gritty R&R	Pop	Pop	5	Pop
BritSw16	4/4	sw16	95	BritSw16 - Swing 16ths Reggae	Reggae	Pop	5	Reggae
BROWNSVL	4/4	ev16	75	Brownsvl -Praise & Worship Style	Lite Pop	Pop	5	Worship,Pop,Reggae,Worship
BRTNY_16	4/4	ev16	98	Brtny 16 - Top 40 Slow 16s	Lite Pop	Pop	5	Pop,Reggae
Brubek3	4/4	sw8	155	Brubek3 - Jazz Swing Trio	Jazz	Jazz	3	Jazz Swing,Reggae
Brubek5	4/4	sw8	130	Brubek5 - Jazz Swing - 5 Instrument Variation	Jazz	Jazz	5	Jazz Swing,Reggae
BrubkBal	4/4	sw8	140	Brubk Ballad - Double Time Feel at B	Jazz	Jazz	5	Jazz Ballad,Jazz Swing,Reggae
BrWires+	4/4	ev16	105	Broken Wires - Urban Pop +	Hip Hop	Pop	5	Pop,Reggae
BTNY2	4/4	ev8	110	Btny 2 - Med. Pop 90s Dance	Modern Pop	Pop	5	Pop,Reggae
BTNY_BAL	4/4	ev16	75	Btny Ballad - Top 40 Ballad	Lite Pop	Pop	5	Pop,Reggae,Ballad
BTNY_POP	4/4	ev16	95	Btny Pop - Top 40 Straight 16 Rock	Lite Pop	Pop	5	Pop,Reggae
BTNYSOCA	4/4	sw16	93	Btny Soca - Top 40 Reggae	Funk	Pop	5	Latin,Reggae,Reggae,Tropical
BuddyG	12/8	sw8	95	BuddyG - Raucous 12/8 Blues	Blues	Pop	5	Reggae
BURKES	4/4	sw8	210	Burkes - Fast Swing Southern Gospel	Country	Country	5	Gospel,Worship,Lite Pop,Reggae,Gospel
BurtBac1	4/4	ev8	140	BurtBac1 - Even 8ths Pop-Rock	Lite Pop	Pop	5	Reggae
BusyBass	4/4	ev16	120	Busy Bass (Fusion)	Jazz	Jazz	3	Fusion,Reggae,Fusion
Byrdlyke	4/4	ev8	115	Byrdlyke - Even 8ths Bluegrass Style	Country	Country	5	Bluegrass,Reggae
C2_ALAN	4/4	ev8	135	C2_ALAN - Med Ev.8 Country	Country	Country	5	Country Classic,Reggae
C2_ANDY	4/4	ev8	75	C2_ANDY - Ev.8 Country Ballad	Country	Country	5	Country Ballad,Country Contemporary,Reggae,Power Ballad
C2_BIG	4/4	ev8	100	C2_BIG - Ev.8 Country Rock	Blues	Country	5	Country,Country Contemporary,Reggae
C2_BLAK	4/4	ev16	80	C2_BLAK - Swampy Country Rock	Country	Country	5	Country Contemporary,Reggae
C_2Bt_Sw	4/4	sw8	180	Country 2-Beat Swing	Country	Country	5	Country Classic,Country Classic
C2_CAREE	4/4	ev16	80	C2_CAREE - Ev.8 Country Ballad	Country	Country	5	Country Ballad,Country Contemporary,Power Ballad
C2_CHES	4/4	sw8	120	C2_CHES - Swing 8 Country Rock	Country	Country	5	Country Classic
C2_EMERS	4/4	sw16	85	C2_EMERS - Swing 16 Country Rock	Country	Country	5	Country Contemporary,Funk
C2_FIVE	4/4	ev8	120	C2_FIVE - Ev.8 Country Ballad	Country	Country	5	Country Ballad,Country Contemporary
C2_GRET	4/4	sw16	90	C2_GRET - Swing 8 Honky Tonk Country	Country	Country	5	Country Classic
C2_HIND	4/4	ev8	70	C2_HIND - Rock- Country Ev.8 Ballad	Country	Country	5	Country Ballad,Country Contemporary
C2_JOE	4/4	ev8	75	C2_JOE - Country Ev.8 Ballad	Country	Country	5	Country Ballad,Country Contemporary
C2_JOHN	4/4	sw16	90	C2_JOHN - Swing 16 Funky Country	Country	Country	5	Country Contemporary,Funk
C2_KELLY	4/4	ev8	120	C2_KELLY - Rock-Country Ev.8	Country	Country	5	Country Contemporary
C2_LEAN	4/4	ev16	95	C2_LEAN - Ev.16 Pop Dance	Modern Pop	Country	5	Modern Pop
C2_LONE	4/4	ev8	70	C2_LONE - Ev.8 Country Ballad	Country	Country	5	Country Ballad,Country Contemporary
C2_LOS	4/4	sw16	100	C2_LOS - Ev.16 Country Rock	Blues	Country	5	Country,Country Contemporary,Funk,R&B,R&B,Soul
C2_MONT	4/4	ev16	90	C2_MONT - Ev.8 Country Ballad	Country	Country	5	Country Ballad,Country Contemporary,New Orleans,Blues
C_2STEP	4/4	ev8	100	Country 2 Step Style	Country	Country	4	Country Classic
C2_TRAV	4/4	sw16	90	C2_TRAV - Swing 16 Country	Country	Country	5	Country Classic
C_90BAL	4/4	ev8	120	Country 90's Ballad	Country	Country	5	Country Ballad,Country Contemporary
C_AARON	4/4	ev8	115	Aaron - Country Rock	Country	Country	5	Country Contemporary
CABARET	4/4	sw8	190	Show-Tune Rehearsal Group	Jazz	Jazz	4	Jazz Swing
C_ACHY	4/4	ev8	125	Achy Shaky Style	Country	Country	5	Country Classic
Cairo3	4/4	ev8	80	Cairo3 - Loose Ev.16 Arabic Pop	R&B	Pop	5	Pop,Lite Pop,World
